variable,lag,mean_acf,min_acf,max_acf
r_t_winsorized,0,1,1,1
r_t_winsorized,1,-0.0212284305365688,-0.195872278303802,0.157332194084516
r_t_winsorized,2,-0.00712092650730926,-0.159069487518449,0.16307138646643
r_t_winsorized,3,-0.0158555708116832,-0.127670539266473,0.136514333845489
r_t_winsorized,4,-0.00491833225728363,-0.103042184547889,0.133134690586599
r_t_winsorized,5,-0.00974455311359267,-0.108073154090759,0.115913728913796
r_t_winsorized,6,-0.00208972776109993,-0.123230933718641,0.120523065318879
r_t_winsorized,7,-0.0134429337792544,-0.145800242055535,0.0997673872995614
r_t_winsorized,8,0.00129119885040934,-0.158061133370358,0.163310853891086
r_t_winsorized,9,-0.00771801677832997,-0.116666110841462,0.106090634359226
r_t_winsorized,10,0.00270216721478911,-0.139208885688828,0.112325062165202
r_t_winsorized,11,-0.0120173364620997,-0.126523142956305,0.104266533014607
r_t_winsorized,12,6.87543343559628e-05,-0.10179135299341,0.11290641228485
r_t_winsorized,13,-0.00754147809659441,-0.108273204711566,0.11601714674797
r_t_winsorized,14,-0.00647456940569464,-0.114426383872215,0.093357971102825
r_t_winsorized,15,-0.00694260100193731,-0.117166153521357,0.0985245055370686
r_t_winsorized,16,-0.000166608142729138,-0.141726995679226,0.132467727906392
r_t_winsorized,17,-0.00374196653857627,-0.104999821222651,0.110334492550431
r_t_winsorized,18,0.000826952182643523,-0.0988957698128169,0.104359253935962
r_t_winsorized,19,-0.00869706656123329,-0.12006555258899,0.10961311159656
r_t_winsorized,20,0.00366594854249013,-0.120384678716113,0.138309606749248
spread_tilde,0,1,1,1
spread_tilde,1,0.25869371609544,0.0296461601649947,0.713342910112093
spread_tilde,2,0.177585262824102,-0.0175893180813781,0.617743639155229
spread_tilde,3,0.139392783641614,-0.0572010981982977,0.544248777566522
spread_tilde,4,0.122445210764127,-0.031559074709754,0.516768022827486
spread_tilde,5,0.105162335857429,-0.0411837384863378,0.46715635809356
spread_tilde,6,0.0985417838117965,-0.0598039045953625,0.442462957006257
spread_tilde,7,0.0867966460056511,-0.0776920078285428,0.442462766441699
spread_tilde,8,0.0828164336400732,-0.0488474559654349,0.440489183939064
spread_tilde,9,0.0754789466741075,-0.0565082992083092,0.428775046230692
spread_tilde,10,0.0744337042283356,-0.0756172990757559,0.42919255627605
spread_tilde,11,0.0672066924761916,-0.0744688282517854,0.41536157041909
spread_tilde,12,0.0649856925362659,-0.113442814205614,0.397272902711032
spread_tilde,13,0.0597176795888088,-0.0696557938515733,0.377113553602705
spread_tilde,14,0.0578058313258877,-0.0819498430679206,0.373412545317994
spread_tilde,15,0.0550876476210706,-0.0732071698539283,0.359523140505982
spread_tilde,16,0.0549871758051741,-0.0823921382262485,0.358907104293162
spread_tilde,17,0.0511923284762519,-0.0558240346369164,0.350504005884328
spread_tilde,18,0.0518050768483896,-0.064571471024819,0.373843422656899
spread_tilde,19,0.0492114078875174,-0.0960317475489951,0.339489018479316
spread_tilde,20,0.0489097304167696,-0.0815178452134715,0.310537908594494
ofi_depth_scaled,0,1,1,1
ofi_depth_scaled,1,0.0311541808123126,-0.242249068899781,0.456459293105254
ofi_depth_scaled,2,0.0130521635980619,-0.216158800416523,0.304312277895278
ofi_depth_scaled,3,0.00836458317100603,-0.195365850832322,0.347368708076296
ofi_depth_scaled,4,0.00493334866036002,-0.246143192525344,0.336424935196751
ofi_depth_scaled,5,0.00292986821554192,-0.177923176230792,0.251016093340855
ofi_depth_scaled,6,0.00426033970798194,-0.237484692709067,0.168333436386648
ofi_depth_scaled,7,0.00206542935472081,-0.228807628569322,0.343342449062768
ofi_depth_scaled,8,0.00236503823451416,-0.163031597242883,0.289063109036557
ofi_depth_scaled,9,0.00167856295747879,-0.220586937466925,0.160189630568975
ofi_depth_scaled,10,0.00310145673616519,-0.22528768100437,0.293651168227426
ofi_depth_scaled,11,0.000476864276164932,-0.174104579627806,0.245197368994871
ofi_depth_scaled,12,0.00139236093540142,-0.215795386677335,0.205087753972879
ofi_depth_scaled,13,0.000672565285021543,-0.194857423985719,0.33024929785504
ofi_depth_scaled,14,0.000219557239058161,-0.193224013548036,0.197397001929174
ofi_depth_scaled,15,0.000653214835807638,-0.351287168483585,0.344303954556842
ofi_depth_scaled,16,0.000506581388358326,-0.296221806161573,0.266412296874387
ofi_depth_scaled,17,0.000811562181582458,-0.131221483754459,0.234872694758284
ofi_depth_scaled,18,-0.000641622116061721,-0.162354207578412,0.154586467872654
ofi_depth_scaled,19,0.000505501985608024,-0.211728637512641,0.25396546865846
ofi_depth_scaled,20,0.00107834318920528,-0.170733310601656,0.182880240886891
abs_ofi_tilde,0,1,1,1
abs_ofi_tilde,1,0.166119263434902,-0.00260248147071537,0.543857182437535
abs_ofi_tilde,2,0.106609067922214,-0.0294454535718276,0.534879918595389
abs_ofi_tilde,3,0.0839075556446627,-0.037306744096502,0.391186186464081
abs_ofi_tilde,4,0.0727259225794307,-0.0470229835317144,0.399955557641392
abs_ofi_tilde,5,0.0616462872450521,-0.0474366984023422,0.395915111024401
abs_ofi_tilde,6,0.0581953522082505,-0.0487584093643873,0.334772723094833
abs_ofi_tilde,7,0.0502920715455284,-0.0551135304566141,0.385897653887737
abs_ofi_tilde,8,0.049601432913561,-0.0579137240288474,0.317601393507104
abs_ofi_tilde,9,0.0431647672463308,-0.0519644559949733,0.275106421313659
abs_ofi_tilde,10,0.0423411704799949,-0.0782328694316435,0.278968216059048
abs_ofi_tilde,11,0.0405732969418319,-0.0499556455496777,0.299281961700242
abs_ofi_tilde,12,0.0395600469224073,-0.0567821342178186,0.26003017272217
abs_ofi_tilde,13,0.0351806390932441,-0.0518709062897031,0.25073934785015
abs_ofi_tilde,14,0.0336352411364593,-0.0895244870304221,0.2307060584476
abs_ofi_tilde,15,0.0321738359822996,-0.0778918441888583,0.242264759618679
abs_ofi_tilde,16,0.0329113587128042,-0.0572413508792429,0.23359907595925
abs_ofi_tilde,17,0.0313432849634104,-0.0532719782994021,0.227143008608402
abs_ofi_tilde,18,0.0290666477547959,-0.0569360295905384,0.226344130614632
abs_ofi_tilde,19,0.0292416694102992,-0.0664780777193542,0.335463439514963
abs_ofi_tilde,20,0.0298131185484849,-0.0550456803937829,0.256544635006767
depth_tilde,0,1,1,1
depth_tilde,1,0.326731893815831,0.00162123230846639,0.845106662340836
depth_tilde,2,0.228577286908818,-0.014850813926124,0.7789878901058
depth_tilde,3,0.181491236868845,-0.0589364658169749,0.757656393252884
depth_tilde,4,0.151784732609825,-0.0490262052907283,0.723613517397535
depth_tilde,5,0.130134752518885,-0.0361735682315928,0.691395452897368
depth_tilde,6,0.1150654543768,-0.0535210109674327,0.657374904419748
depth_tilde,7,0.103342339611238,-0.0638897419089251,0.635320002451307
depth_tilde,8,0.0941449074418509,-0.0447937094838716,0.608988972650905
depth_tilde,9,0.0866060386072006,-0.062561346357998,0.584400038897172
depth_tilde,10,0.0795604493304298,-0.0599489247046023,0.553813883062628
depth_tilde,11,0.0752646699464911,-0.0768882874597068,0.536714572394566
depth_tilde,12,0.0688977622461174,-0.0801211111921857,0.518841544157748
depth_tilde,13,0.0651233460006284,-0.0714370116534597,0.507212141914294
depth_tilde,14,0.0626353584910505,-0.0977478647360344,0.488435022522547
depth_tilde,15,0.0585155101615865,-0.0848803904778616,0.458470025476405
depth_tilde,16,0.0568068289047014,-0.0864701882257415,0.447876370195442
depth_tilde,17,0.0531098693610206,-0.0835806874681421,0.44231109283077
depth_tilde,18,0.0508953525814246,-0.0958370759619073,0.427521048074065
depth_tilde,19,0.0484727363349634,-0.0749066425337511,0.413101462498624
depth_tilde,20,0.0471745953259177,-0.0911631537444651,0.410090409715088
rv_tilde,0,1,1,1
rv_tilde,1,0.898869215252442,0.46822715285536,0.977121082976982
rv_tilde,2,0.814671233596469,0.334849405250715,0.951448113641499
rv_tilde,3,0.739890633976014,0.243504971479949,0.92449487064248
rv_tilde,4,0.671332641707385,0.216511099197271,0.896455105687615
rv_tilde,5,0.606428791827672,0.125748647616002,0.867007041881614
rv_tilde,6,0.544791714740465,0.108263606110013,0.836564876236018
rv_tilde,7,0.486866164523116,0.0933387975752995,0.809395551035389
rv_tilde,8,0.432091919775711,0.0544157895636455,0.78605600480302
rv_tilde,9,0.379883651812099,0.0198116344525507,0.763461006208025
rv_tilde,10,0.329745208818202,-0.00575752075081927,0.740653033729161
rv_tilde,11,0.283594545111203,-0.047111479400289,0.717326718914865
rv_tilde,12,0.239153652077221,-0.118225215670738,0.695069962999547
rv_tilde,13,0.225044220503479,-0.136654831962081,0.686088236441795
rv_tilde,14,0.213697970225173,-0.162770822308353,0.679894377812221
rv_tilde,15,0.203753834384817,-0.176541813380772,0.673878281184298
rv_tilde,16,0.194777871374169,-0.180623303778432,0.668489344368931
rv_tilde,17,0.18698611867418,-0.176503801342319,0.662917048098188
rv_tilde,18,0.179276952592958,-0.166019321859865,0.658471520710464
rv_tilde,19,0.172206574171597,-0.149409090239141,0.649682382666934
rv_tilde,20,0.165460984715799,-0.154271888253502,0.641778725303096
